date,value
1999-01-04,0.6185056902523504
1999-01-05,0.6202319667555666
1999-01-06,0.6205013651030032
1999-01-07,0.6186204763377667
1999-01-08,0.6196554715578139
1999-01-11,0.620963735717834
1999-01-12,0.6222000995520159
1999-01-13,0.6277069863787584
1999-01-14,0.62758880381574
1999-01-15,0.6256256256256256
1999-01-18,0.6248437890527369
1999-01-19,0.6249609399412537
1999-01-20,0.6240639041437843
1999-01-21,0.6238303181534622
1999-01-22,0.6256647688168679
1999-01-25,0.6263309532757109
1999-01-26,0.6241418050181001
1999-01-27,0.6218132073125233
1999-01-28,0.62000124000248
1999-01-29,0.6202319667555666
1999-02-01,0.6215426689042203
1999-02-02,0.6249218847644045
1999-02-03,0.6259780907668232
1999-02-04,0.6243366423175376
1999-02-05,0.6245316012990257
1999-02-08,0.6242976651267325
1999-02-09,0.6250390649415588
1999-02-10,0.6264486625321055
1999-02-11,0.6263309532757109
1999-02-12,0.6253126563281641
1999-02-15,0.6269592476489029
1999-02-16,0.6259780907668232
1999-02-17,0.6260564702936205
1999-02-18,0.6257039169065198
1999-02-19,0.6257039169065198
1999-02-22,0.6255473539346929
1999-02-23,0.6268020559107434
1999-02-24,0.6273525721455457
1999-02-25,0.6287331027978623
1999-02-26,0.6293266205160478
1999-03-01,0.6277463904582549
1999-03-02,0.628456510809452
1999-03-03,0.6279040562602034
1999-03-04,0.6296039790971478
1999-03-05,0.628456510809452
1999-03-08,0.6276281930584322
1999-03-09,0.6277069863787584
1999-03-10,0.6244536030972899
1999-03-11,0.6260956674179815
1999-03-12,0.6259780907668232
1999-03-15,0.6246096189881324
1999-03-16,0.6251953735542357
1999-03-17,0.6255082254331644
1999-03-18,0.6259780907668232
1999-03-19,0.6255473539346929
1999-03-22,0.6263309532757109
1999-03-23,0.6271558482282847
1999-03-24,0.6286145335680161
1999-03-25,0.6271951831409934
1999-03-26,0.6263701847792045
1999-03-29,0.6272345229881452
1999-03-30,0.6267234895963901
1999-03-31,0.6257430698955009
1999-04-01,0.6266842138246538
1999-04-02,0.6260564702936205
1999-04-05,0.62625250501002
1999-04-06,0.6269592476489029
1999-04-07,0.6268806419257773
1999-04-08,0.6266449429753101
1999-04-09,0.62625250501002
1999-04-12,0.6238303181534622
1999-04-13,0.6237524950099801
1999-04-14,0.622975330176925
1999-04-15,0.6236357966947303
